 CustomString CustomString1 CustomString2 BusNum BusNum1 LineCircuit LineXfmr LineR LineX LineG LineC LineAMVA LineAMVA1 LineAMVA2 LineMonEle LSName LineXFType LineStatus LineTap XFRegTargetType LinePhase XFAuto XFRegBus XFRegMin XFRegMax XFTapMin XFTapMax XFStep XFTableNum
 "Transformer" "WALTHAM_115_110D" "110D" 652 653 1 "Yes" 0.000000 0.070610 0.000000 0.000000 190.0 225.0 285.0 "YES" "115" "Phase" "Closed" 1 "Middle of Reg Range" -5.0 "No" 0 40.0 60.0 -40.0 40.0 2.5 19
 "Transformer" "WALTHAM_115_110E" "110E" 633 634 1 "Yes" 0.000000 0.070610 0.000000 0.000000 190.0 225.0 285.0 "YES" "115" "Phase" "Closed" 1 "Middle of Reg Range" -5.0 "No" 0 40.0 60.0 -40.0 40.0 2.5 20
 "Transformer" "WALTHAM_115_110F" "110F" 628 627 1 "Yes" 0.000000 0.070610 0.000000 0.000000 190.0 225.0 285.0 "YES" "115" "Phase" "Closed" 1 "Middle of Reg Range" -5.0 "No" 0 40.0 60.0 -40.0 40.0 2.5 21
 "Transformer" "BAKER_ST_115_110C" "110C" 670 671 1 "Yes" 0.000000 0.071640 0.000000 0.000000 190.0 225.0 285.0 "YES" "115" "Phase" "Closed" 1 "Middle of Reg Range" -2.5 "No" 0 25.0 45.0 -40.0 40.0 2.5 22
 "Transformer" "BAKER_ST_115_110D" "110D" 673 674 1 "Yes" 0.000000 0.071640 0.000000 0.000000 190.0 225.0 285.0 "YES" "115" "Phase" "Closed" 1 "Middle of Reg Range" -2.5 "No" 0 25.0 45.0 -40.0 40.0 2.5 23
 "Transformer" "SACO_VLY_115_PS01" "PS01" 5738 5737 1 "Yes" 0.000663 0.040397 0.000000 0.000000 290.0 305.0 340.0 "YES" "115" "Phase" "Closed" 1 "Middle of Reg Range" -6.525 "Yes (powerflow)" 0 25.0 75.0 3.2625 107.6625 3.2625 24
 "Transformer" "SACKETT_115_PS01" "PS01" 6337 6338 1 "Yes" 0.001000 0.042000 0.000000 0.000000 157.0 157.0 157.0 "YES" "115" "Phase" "Closed" 1 "Middle of Reg Range" -1.875 "No" 0 50.0 70.0 -10.0 10.0 0.625 25
 "Transformer" "GRANITE_115_PS01" "PS01" 6717 6716 1 "Yes" 0.000009 0.000483 0.000000 0.000000 416.0 444.0 573.0 "YES" "115" "Phase" "Closed" 1 "Middle of Reg Range" 5.625 "Yes (powerflow)" 0 40.0 60.0 -60.0 60.0 1.875 26
 "Transformer" "GRANITE_115_PS02" "PS02" 6722 6715 1 "Yes" 0.000009 0.000483 0.000000 0.000000 423.0 454.0 573.0 "YES" "115" "Phase" "Closed" 1 "Middle of Reg Range" 5.625 "Yes (powerflow)" 0 40.0 60.0 -60.0 60.0 1.875 27
 "Transformer" "SANDBAR_115_PS01" "PS01" 6846 6845 1 "Yes" 0.000009 0.000484 0.000000 0.000000 423.0 448.0 685.0 "YES" "115" "Phase" "Closed" 1 "Middle of Reg Range" 9.375 "Yes (powerflow)" 0 -10.0 10.0 -60.0 60.0 1.875 28
