 YEAR,  MON,  DAY, HOUR,      LOAD,  DRY BULB, DEW POINT,       OP4,    LAMBDA 
   96,    1,    1,    1,     10638,      29.4,      23.4,         0,     17.10
   96,    1,    1,    2,     10063,      30.3,      23.4,         0,     17.01
   96,    1,    1,    3,      9600,      29.2,      23.1,         0,     16.67
   96,    1,    1,    4,      9356,      29.6,      22.9,         0,     16.43
   96,    1,    1,    5,      9380,      29.3,      22.9,         0,     16.50
   96,    1,    1,    6,      9605,      28.5,      22.2,         0,     16.87
   96,    1,    1,    7,     10004,      28.1,      22.4,         0,     16.79
   96,    1,    1,    8,     10338,      27.8,      22.1,         0,     16.82
   96,    1,    1,    9,     11037,      29.1,      22.6,         0,     16.54
   96,    1,    1,   10,     11791,      29.8,      23.0,         0,     16.90
   96,    1,    1,   11,     12345,      31.3,      22.8,         0,     17.32
   96,    1,    1,   12,     12631,      32.4,      22.8,         0,     17.84
   96,    1,    1,   13,     12686,      33.3,      23.1,         0,     18.24
   96,    1,    1,   14,     12491,      33.8,      22.9,         0,     17.89
   96,    1,    1,   15,     12267,      33.4,      23.3,         0,     17.29
   96,    1,    1,   16,     12444,      33.3,      23.1,         0,     17.75
   96,    1,    1,   17,     13710,      32.5,      22.9,         0,     23.56
   96,    1,    1,   18,     14940,      31.1,      23.2,         0,     32.46
   96,    1,    1,   19,     14843,      30.5,      23.4,         0,     27.11
   96,    1,    1,   20,     14499,      30.2,      23.4,         0,     27.28
   96,    1,    1,   21,     13989,      29.9,      23.5,         0,     26.59
   96,    1,    1,   22,     13093,      29.6,      23.7,         0,     24.18
   96,    1,    1,   23,     11889,      28.8,      23.6,         0,     17.98
   96,    1,    1,   24,     10784,      28.1,      23.7,         0,     17.85
   96,    1,    2,    1,     10046,      28.4,      24.4,         0,     17.78
   96,    1,    2,    2,      9693,      28.7,      24.9,         0,     17.46
   96,    1,    2,    3,      9569,      28.1,      24.4,         0,     16.99
   96,    1,    2,    4,      9608,      27.9,      24.5,         0,     17.01
   96,    1,    2,    5,      9921,      27.7,      24.7,         0,     17.72
   96,    1,    2,    6,     11039,      27.2,      25.1,         0,     20.15
   96,    1,    2,    7,     13308,      26.9,      25.0,         0,     25.67
   96,    1,    2,    8,     15036,      26.8,      24.6,         0,     27.07
   96,    1,    2,    9,     15601,      26.5,      24.4,         0,     27.62
   96,    1,    2,   10,     15907,      26.5,      23.5,         0,     28.56
   96,    1,    2,   11,     16013,      26.0,      23.0,         0,     28.68
   96,    1,    2,   12,     16093,      25.8,      22.0,         0,     29.19
   96,    1,    2,   13,     16110,      25.2,      21.0,         0,     28.77
   96,    1,    2,   14,     16094,      25.1,      20.6,         0,     28.91
   96,    1,    2,   15,     16023,      24.3,      19.9,         0,     28.73
   96,    1,    2,   16,     16029,      23.7,      19.7,         0,     26.22
   96,    1,    2,   17,     17047,      23.1,      19.3,         0,     31.73
   96,    1,    2,   18,     17992,      22.4,      18.6,         0,     34.11
   96,    1,    2,   19,     17773,      21.5,      17.5,         0,     31.58
   96,    1,    2,   20,     17202,      21.4,      16.8,         0,     30.59
   96,    1,    2,   21,     16488,      20.9,      16.6,         0,     29.47
   96,    1,    2,   22,     15346,      20.6,      15.7,         0,     27.14
   96,    1,    2,   23,     13857,      20.4,      15.4,         0,     25.80
   96,    1,    2,   24,     12420,      20.2,      15.5,         0,     19.99
   96,    1,    3,    1,     11591,      20.1,      15.5,         0,     18.26
   96,    1,    3,    2,     11168,      19.1,      15.2,         0,     17.43
   96,    1,    3,    3,     11028,      18.9,      14.9,         0,     16.81
   96,    1,    3,    4,     11017,      18.9,      15.0,         0,     16.70
   96,    1,    3,    5,     11302,      19.4,      15.8,         0,     17.37
   96,    1,    3,    6,     12268,      17.9,      15.2,         0,     20.63
   96,    1,    3,    7,     13885,      18.3,      16.0,         0,     26.81
   96,    1,    3,    8,     15190,      18.4,      15.8,         0,     27.53
   96,    1,    3,    9,     15994,      18.4,      16.0,         0,     28.70
   96,    1,    3,   10,     16668,      18.6,      15.6,         0,     30.08
   96,    1,    3,   11,     17145,      15.9,      13.0,         0,     31.35
   96,    1,    3,   12,     17378,      16.2,      13.0,         0,     33.21
   96,    1,    3,   13,     17394,      15.7,      12.7,         0,     33.00
   96,    1,    3,   14,     17175,      15.9,      12.4,         0,     33.08
   96,    1,    3,   15,     16923,      16.4,      12.9,         0,     33.15
   96,    1,    3,   16,     16780,      16.5,      12.7,         0,     32.86
   96,    1,    3,   17,     17716,      16.0,      11.3,         0,     45.91
   96,    1,    3,   18,     18738,      15.1,      10.6,         0,     41.72
   96,    1,    3,   19,     18322,      14.8,      10.2,         0,     34.35
   96,    1,    3,   20,     17709,      15.0,      10.7,         0,     34.94
   96,    1,    3,   21,     16955,      14.8,      11.3,         0,     32.73
   96,    1,    3,   22,     15840,      14.4,      11.4,         0,     29.21
   96,    1,    3,   23,     14308,      14.1,      11.3,         0,     27.53
   96,    1,    3,   24,     13000,      14.2,      11.1,         0,     24.05
   96,    1,    4,    1,     12178,      13.8,      10.4,         0,     20.60
   96,    1,    4,    2,     11772,      13.2,       9.5,         0,     19.87
   96,    1,    4,    3,     11624,      13.3,       8.7,         0,     18.85
   96,    1,    4,    4,     11619,      13.0,       8.6,         0,     18.60
   96,    1,    4,    5,     11933,      12.9,       8.2,         0,     19.09
   96,    1,    4,    6,     12944,      12.4,       8.3,         0,     26.86
   96,    1,    4,    7,     14937,      11.9,       7.7,         0,     30.88
   96,    1,    4,    8,     16376,      11.3,       5.6,         0,     31.84
   96,    1,    4,    9,     16850,      11.0,       5.0,         0,     31.55
   96,    1,    4,   10,     16974,      10.4,       3.2,         0,     31.56
   96,    1,    4,   11,     16876,      11.2,       2.3,         0,     30.31
