Date,Type,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
Planned,Total,13513.604510000001,13077.805329999997,12912.102459999998,12719.073769999999,12866.375,12798.891389999999,14089.063519999998,15864.26844,17080.3832,17975.446719999996,18711.53689,19180.1168,19417.723360000004,19661.97951,19710.93443,19659.479510000005,19595.58402,19339.928279999996,18823.22541,18399.288929999995,18412.231559999997,17708.56557,16039.385250000001,14323.76639
Planned,Nuclear,4673.0,4673.000000000013,4673.0,4673.000000000013,4673.000000000013,4673.0,4673.0,4673.000000000013,4673.000000000013,4673.000000000013,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.000000000013,4673.0,4673.0,4673.0,4673.0,4673.0,4673.000000000013,4673.0
Planned,Hydro,166.50450999998375,161.50000000000074,164.10000000000048,160.50000000000068,160.50000000000094,159.50000000000085,160.50000000000102,164.50000000000094,167.50000000000142,168.50000000000074,167.50000000000097,190.01679999994667,227.82335999999955,260.80000000000075,261.8000000000007,257.70000000000084,259.70000000000067,203.50287000002083,169.69999999999754,167.50000000000068,166.7000000000007,160.50000000000074,156.50000000000117,156.5000000000008
Planned,Steam,7639.100000000017,7589.305329999983,7792.300000000038,7885.573769999985,8032.8749999999845,7966.391389999998,9072.495080000066,10535.700000000053,11210.200000000063,12068.946719999987,12540.54671999998,12838.100000000051,12882.154920000006,12923.834429999999,12948.83443,12945.979510000045,12921.284020000026,12895.925410000042,12730.025410000067,12347.988930000023,12354.800000000065,11785.065569999999,10611.885249999988,8937.26639
Planned,CT,1020.0,640.0,266.3024599999606,0.0,1.4210854715202004e-14,0.0,183.06843999993214,478.06843999993214,1016.6831999999281,1050.0,1316.4901700000178,1464.0000000000016,1618.7450799999958,1789.3450799999985,1812.3000000000025,1767.7999999999602,1726.599999999962,1552.4999999999336,1234.4999999999309,1196.7999999999765,1200.3315599999355,1075.0,585.0,545.0
Planned,Diesel,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
Planned,FixedImport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,Other,15.0,14.0,16.0,0.0,0.0,0.0,0.0,13.0,13.0,15.0,14.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,14.0,17.0,15.0,13.0,12.0
Planned,INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,FLEX,535.0,820.0,1068.0,1064.0,1060.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.0,1.9042545318370685e-12,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12
Planned,FLEX,535.0,820.0,1068.0,1064.0,1060.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.0,1.9042545318370685e-12,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12
Planned,LOAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planned,Slack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Total,15227.000000000015,14692.000000000011,14432.000000000004,14189.000000000002,14315.000000000002,14159.999999999996,15655.00000000026,17473.000000000007,19117.0,20533.99999999999,21592.20000000041,21956.100000000464,22205.900000000518,22467.600000000602,22539.100000000646,22480.500000000153,22419.30000000015,22142.700000000154,21617.30000000016,21106.700000000234,21094.000000000302,20526.40000000015,18757.700000000146,17046.40000000014
