Date,Fixed,Variable
Planned,1654151.3099999945,12389919.7024329
0,1654151.3099999945,88196048.4759835
1,1654151.3099999945,71803380.9689999
2,1654151.3099999945,28094708.7325
3,1654151.3099999945,25145427.652999993
4,1654151.3099999945,89817998.57049993
5,1654151.3099999945,33061477.588499963
6,1654151.3099999945,26628404.659999993
7,1654151.3099999945,46100410.948500015
8,1654151.3099999945,24479000.272999994
9,1654151.3099999945,22652875.414999977
10,1654151.3099999945,23047176.951999992
11,1654151.3099999945,25020771.886499986
12,1654151.3099999945,59391676.586499915
13,1654151.3099999945,43499785.34849996
14,1654151.3099999945,22263160.66749999
15,1654151.3099999945,22487228.156499986
16,1654151.3099999945,24298701.187999994
17,1654151.3099999945,111506506.79749992
18,1654151.3099999945,88892930.25899994
19,1654151.3099999945,25880140.164499998
20,1654151.3099999945,96607605.91549994
21,1654151.3099999945,80572130.73449995
22,1654151.3099999945,27505142.819000006
23,1654151.3099999945,23091481.275499992
24,1654151.3099999945,22106365.623
25,1654151.3099999945,23128440.257
26,1654151.3099999945,28533628.372999996
27,1654151.3099999945,23165467.116999995
28,1654151.3099999945,24327628.8895
29,1654151.3099999945,23205456.02049998
30,1654151.3099999945,21356383.44749999
31,1654151.3099999945,22677462.89549997
32,1654151.3099999945,20950616.505999982
33,1654151.3099999945,21943166.97849998
34,1654151.3099999945,20971466.350499988
35,1654151.3099999945,35532855.459499955
38,1654151.3099999945,22713148.698999982
39,1654151.3099999945,42647360.57349997
40,1654151.3099999945,95161152.92599995
41,1654151.3099999945,32629244.41149997
42,1654151.3099999945,22498351.289999977
43,1654151.3099999945,40114924.95149999
44,1654151.3099999945,34960634.022999875
45,1654151.3099999945,22382634.52699998
46,1654151.3099999945,57502774.63799993
47,1654151.3099999945,70368493.76999995
48,1654151.3099999945,26790521.34799996
49,1654151.3099999945,21674530.44749999
50,1654151.3099999945,21189973.461499993
51,1654151.3099999945,21252415.675499983
52,1654151.3099999945,21974670.996499993
