Date,Fixed,Variable
Planned,1609580.6999999955,12215583.566028358
0,1609580.6999999955,276955754.1259999
1,1609580.6999999955,303930754.126
2,1609580.6999999955,140150936.866
3,1609580.6999999955,101070754.12599999
4,1609580.6999999955,256215754.12599993
5,1609580.6999999955,177900754.12599996
6,1609580.6999999955,165880754.12599996
7,1609580.6999999955,192060754.12599996
8,1609580.6999999955,66240754.12599998
9,1609580.6999999955,17777344.536999978
10,1609580.6999999955,14732463.23949996
11,1609580.6999999955,81941866.96850002
12,1609580.6999999955,206209560.21049997
13,1609580.6999999955,246720754.12599996
14,1609580.6999999955,16417528.144499969
15,1609580.6999999955,11666568.247499995
16,1609580.6999999955,61089719.94900002
17,1609580.6999999955,300195754.126
18,1609580.6999999955,331360754.126
19,1609580.6999999955,118170016.5629999
20,1609580.6999999955,259690754.12599996
21,1609580.6999999955,298595754.126
22,1609580.6999999955,171980754.12599996
23,1609580.6999999955,22331653.500499956
24,1609580.6999999955,11696185.608999986
25,1609580.6999999955,28456700.901500024
26,1609580.6999999955,170405754.12599996
27,1609580.6999999955,22011027.512499962
28,1609580.6999999955,56313165.032500006
29,1609580.6999999955,22859064.01449997
30,1609580.6999999955,9809232.035999991
31,1609580.6999999955,9412802.017999995
32,1609580.6999999955,9731958.616499998
33,1609580.6999999955,10980298.986499988
34,1609580.6999999955,9660585.9365
35,1609580.6999999955,129878516.6785
38,1609580.6999999955,12412828.847499987
39,1609580.6999999955,10605234.923999984
40,1609580.6999999955,16362185.712500002
41,1609580.6999999955,22272590.230499987
42,1609580.6999999955,21428004.55200001
43,1609580.6999999955,147883039.645
44,1609580.6999999955,106379120.67499995
45,1609580.6999999955,11775165.895499995
46,1609580.6999999955,21176370.266499996
47,1609580.6999999955,14047935.050000004
48,1609580.6999999955,17034173.025499992
49,1609580.6999999955,13696374.889499992
50,1609580.6999999955,10168080.865499986
51,1609580.6999999955,13711165.841499992
52,1609580.6999999955,11207839.448499994
53,1609580.6999999955,10453582.783999996
54,1609580.6999999955,9575777.313999997
55,1609580.6999999955,9204311.8025
56,1609580.6999999955,15343281.314499997
57,1609580.6999999955,22533133.135000028
58,1609580.6999999955,18079499.274999976
59,1609580.6999999955,11749492.998999977
60,1609580.6999999955,11099437.710999988
61,1609580.6999999955,15293988.798499972
62,1609580.6999999955,92892615.42250001
63,1609580.6999999955,149856902.0325
64,1609580.6999999955,114166023.37099999
65,1609580.6999999955,20264552.28199996
66,1609580.6999999955,222056343.2985
67,1609580.6999999955,403780754.12599987
68,1609580.6999999955,159054226.65999997
69,1609580.6999999955,11487498.01549998
70,1609580.6999999955,11252878.692499984
71,1609580.6999999955,201260754.126
72,1609580.6999999955,229140754.12599996
73,1609580.6999999955,221872204.12599993
74,1609580.6999999955,477010754.12599987
75,1609580.6999999955,671985754.1259999
76,1609580.6999999955,17598754.07799997
77,1609580.6999999955,12513699.591499986
78,1609580.6999999955,13166402.611499991
79,1609580.6999999955,19016969.082999982
80,1609580.6999999955,21035161.39799997
81,1609580.6999999955,174770754.12599996
82,1609580.6999999955,92620533.10799998
83,1609580.6999999955,13920010.534499982
84,1609580.6999999955,12677741.775999997
