"","LoadDate","Load1","Load2","Load3","Load4","Load5","Load6","Load7","Load8","Load9","Load10","Load11","Load12","Load13","Load14","Load15","Load16","Load17","Load18","Load19","Load20","Load21","Load22","Load23","Load24"
"1","2010-07-09",15259.8724,14413.4078,13864.1272666667,13647.1897666667,13749.4005333333,14516.8159,16252.9693666667,18267.3432666667,19851.3699333333,21114.1244666667,22235.2595666667,23089.1860666667,23641.0346666667,24087.5879333333,24214.9623666667,24221.1918,23735.6839,23239.6429666667,22454.0345333333,21889.2669666667,21818.0483,20891.3334666667,18992.3072333333,17049.1385333333
"2","2010-07-12",15004.1744,14094.4707333333,13587.7627,13240.4078666667,13305.6364333333,13987.0861333333,15462.8671333333,17448.4449333333,19054.0214,20331.7249,21282.9025,22027.7539,22464.2300333333,22851.2446333333,23058.9645,23087.3685666667,23105.4148333333,22892.4809666667,22184.5508666667,21693.5802333333,21692.6166333333,20799.4886666666,18877.8715333333,16818.1286
"3","2010-07-13",15181.5662333333,14480.5530333333,14030.9924333333,13764.7248333333,13910.3381666667,14580.3498666667,16257.3148,18241.9270666667,19832.7210333333,21097.9726,22140.4243666667,22879.4927333333,23387.3642,23838.8226,23854.2124,23974.6187666666,23737.5205666667,23014.4021666667,22047.5415,21479.2688333333,21316.0623666667,20284.9276,18524.9145666667,16764.6015333333
"4","2010-07-14",14852.6098333333,14121.1369,13648.6182666667,13499.9024,13735.7095666667,14535.1279,16371.5244666667,18204.3291666667,19499.8882666667,20486.4308666667,20960.1585,21126.5813333333,21123.8703,21119.2940666667,20905.2848666667,20644.219,20489.4774333333,20259.7703,19876.9125333333,19516.8885333333,19562.4311666667,18915.2860666667,17230.8368333333,15599.2995666667
"5","2010-07-15",13876.2650333333,13080.5046666667,12640.0971666667,12435.1405333333,12557.2900333333,13351.4047666667,14947.6229666667,16746.1569,18096.8179666667,19080.1440333333,19849.9943,20406.5450333333,20741.212,21051.0987666667,21285.4208666667,21307.8710333333,21374.114,21099.9011,20438.0708333333,19876.5211333333,19884.1178666667,19140.1529666667,17366.6501333333,15506.8336
"6","2010-07-16",14324.4767333333,13465.1498,12981.1493,12768.1594,12846.9124666667,13579.7437,15041.6870333333,16949.4581666667,18474.2974,19757.2232666667,20945.9465333333,21903.8864,22455.9823333333,23058.3116,23228.4526333333,23306.5117,23209.7847666667,22823.9092333333,22087.8219666667,21426.0172666667,21261.3658333333,20278.3552666667,18430.4158666667,16593.8053
"7","2010-07-19",14793.5634666667,13940.2327,13338.9983,12977.4619,12987.2701666667,13511.3486333333,15141.283,17176.1704333333,18655.5887333333,19876.1983333333,20877.3162666667,21516.919,22038.6782666667,22500.6143666667,22691.6404,22755.3638,22855.9516,22566.5351666667,21997.2937333333,21488.8113666667,21466.7617333333,20589.0105,18708.2675333333,16868.1653
"8","2010-07-20",15023.9633333333,14209.1577666667,13619.6473,13332.1879333333,13419.4152333333,14137.8466333333,15713.9777333333,17552.6403666667,18947.6808,20099.9894,20911.9204666667,21548.4627,21858.9577,22119.0203666667,22125.1080666667,21904.4879333333,21851.9410333333,21511.7560666667,21067.0304333333,20437.9268666667,20210.2390333333,19461.7206666666,17668.4615333333,15775.5963333333
"9","2010-07-21",14092.4067,13228.9932,12742.8483666667,12529.8154333333,12631.2883,13277.0644666667,14753.0534333333,16684.0942333333,18169.8071666667,19524.4107,20678.5870666667,21567.5962,22129.5438333333,22596.4417,22727.1832666667,22626.9166333333,22534.9469,22098.1881,21293.0601666667,20642.5057,20509.5959666667,19703.3230333333,17887.0467,16057.8187
"10","2010-07-22",13725.2451666667,12883.2246666667,12395.7896666667,12172.1038,12269.8606666667,12981.9149666667,14512.8760333333,16391.8203333333,17855.6205666667,19041.5555333333,19946.5104333333,20517.2302,20832.2236333333,21202.0791,21436.9443333333,21586.6976,21634.8786,21369.4283,20800.6847,20095.917,19860.5855333333,19160.1321333333,17183.4446333333,15234.8262333333
"11","2010-07-23",13762.4013,12936.7350666667,12444.3856,12149.7012,12272.4179333333,12853.0350666667,14328.6523333333,16200.8809666667,17531.3592,18525.1448,19237.5135,19535.8397666667,19484.9189666667,19555.6409666667,19366.3074,19063.148,18766.8220666667,18562.3366,18200.0683,17779.3577,17858.6326333333,17345.4780333333,16030.3019333333,14471.0144666667
"12","2010-07-26",13335.9322,12499.9149,12031.6535666667,11752.6680666667,11815.7489666667,12444.9918666667,13963.2195666667,15846.2613,17100.9332333333,18130.8137333334,18968.6293333334,19596.4777,19964.5252666667,20428.1380333333,20779.97,20871.8126333333,20898.1288333333,20755.1944,20054.52,19312.8385333333,19045.5576,18423.2034666667,16679.3936,14816.7941666667
"13","2010-07-27",13531.4872,12732.0379666667,12227.2983333333,11946.8587,12028.2568666667,12602.2762666667,14114.0272666667,15908.1073666667,17450.2972,18660.6089333333,19793.3818666667,20726.2601,21292.9956,22031.5947333333,22251.6672,22554.6779333333,22617.8751666667,22517.0177,21885.2766,21210.4253333333,21101.4205666667,20358.9072333333,18384.3524666667,16297.6731
"14","2010-07-28",14503.4000333333,13585.2860666667,13048.2638666667,12659.3955,12659.5705,13282.1002,14790.5983333333,16760.4795666667,18387.6862666667,19585.6859333333,20804.1836,21642.5704666667,22201.1565333333,22772.9232666667,23009.6418,23312.2279666667,23292.4574,23026.1537,22304.0462,21666.2956,21656.5361,20846.8075,18849.7317,16871.5511666667
"15","2010-07-29",15898.2167666667,15112.7001,14611.2402666667,14424.9949,14572.9948,15288.4095333333,16862.2288666667,18746.9496666667,19811.7918333333,20736.0989666667,21328.9679,21645.6461333333,21900.411,22141.5841333334,22350.6767333333,22253.4471666667,22273.1198666667,22060.215,21380.6119666667,20756.1549666667,20382.4983666667,19643.648,17620.1175333333,15476.9334
"16","2010-07-30",13162.6624,12381.4479,11889.8393333333,11630.3037666667,11678.7100333333,12339.7377333333,13747.1795333333,15507.5364333333,16615.4943,17511.3379,18134.6124333333,18471.9088,18580.6105666667,18784.6409333333,18796.9955,18727.768,18645.4641333333,18406.6389333333,17785.6335666667,17317.3258333333,17422.6356,16742.2940333333,15116.4508333333,13561.1485
"17","2010-08-02",12572.1641333333,11852.6534,11416.9106333333,11330.7901666667,11522.0267333333,12277.0013333333,13866.2248666667,15595.0169333333,16765.2856666667,17624.6867,18327.3788333333,18815.3779,19098.4784666667,19420.0566333333,19508.6598666667,19542.2547333333,19531.5914333333,19301.2290666667,18753.5956333333,18220.7183666667,18198.7822666667,17605.3294333333,15997.7298,14268.0010333333
"18","2010-08-03",13474.7301333333,12727.9081333333,12306.8772,12064.1559333333,12235.6977,12920.0892333333,14483.3367666667,16418.3895,17910.7327333333,19118.1658333333,20136.5263333333,20754.0836,21188.7239666667,21698.3282666667,22093.9745,22278.6224,22357.4052333333,22090.3799333333,21455.2903,20806.2453666667,20831.9549,19996.7401666667,18210.0369333333,16342.9887333333
"19","2010-08-04",15189.9766333333,14335.3198666667,13859.0728666667,13562.8688,13739.8681,14407.8527333333,16176.4119666667,18227.7420666667,19738.0946333333,20958.7160666667,21949.6612666667,22813.4572333333,23351.1857,23801.8722333333,24101.1061,24204.5145666667,24248.9179333333,23891.4831,23246.8654333333,22612.3439,22493.7321666667,21680.6196333333,19725.9428666667,17608.9845
"20","2010-08-05",16329.2107333333,15397.3308333333,14983.8160666667,14678.1580333333,14794.2610666667,15555.4905666667,17124.0807666667,18979.4552,20285.7816,21236.3231,21929.3127666667,22470.7186,22927.6540666667,23325.8538666667,23514.4509333333,23354.4418333333,23202.5065,22845.1743,22319.0119666666,22045.1962333333,21871.4252333333,21050.1457666666,19112.9593666667,17158.6668666667
"21","2010-08-06",15342.7753333333,14463.4558333333,13975.8917,13641.7366333333,13784.5165666667,14365.8973,15790.9192666667,17543.4202666667,18888.6795333333,20031.4207666667,20799.9937666667,21387.336,21547.4269333334,21791.7438,21869.8271333333,21601.1461,21501.9211333333,20946.0454666667,19965.1469,19191.6138,19014.0707333333,18089.1007666667,16239.0331333333,14349.1427333333
"22","2010-08-09",15036.7421333333,14179.5249333333,13703.8812666667,13429.4617333333,13576.8653333333,14356.4335666667,15930.3984666667,17817.1221,19400.5901333333,20754.9223333333,22010.6937666667,22981.7301,23529.1393,24058.1198666667,24205.7187333333,24206.3774,24062.8672666667,23835.3122333333,23105.1132,22557.9177666667,22491.1840666667,21365.8837,19263.3148666667,17250.9469666667
"23","2010-08-10",15298.3307666667,14433.7571,13854.1245333333,13569.2028666667,13629.0628333333,14403.6630666667,15839.8421,17644.7811,19186.7593666667,20406.9385333333,21469.4246,22127.4887333333,22653.1606,23195.8497666667,23518.3047333333,23593.4925666667,23541.4878,23195.2954666667,22519.2473333333,21922.6563,21882.3784,20961.6111,19004.4286666667,17031.9829666667
"24","2010-08-11",14576.6958333333,13839.6196,13325.0794333333,13088.4257,13204.4217333333,13900.6726,15359.9646,17069.6954333333,18411.823,19366.1110333333,20237.4366,20889.2567,21148.6843,21525.0961,21580.6217333333,21592.8049666667,21519.1428333333,21185.5866333333,20534.5364333333,19929.5600333333,19682.8081,18930.7841,17021.7934666667,15187.8622
"25","2010-08-12",13331.1606,12614.8346333333,12149.3147333333,11908.6474666667,12068.2893333333,12776.8923,14196.4532,15921.607,17203.2720333333,18066.4178333333,18693.9664,19105.8345666667,19222.0440333333,19337.7639333333,19321.5432666667,19189.4248,19019.4130333333,18696.1001666667,18130.8803666667,17720.4460666667,17828.1258,17116.1223,15512.3418,13878.1771666667
"26","2010-08-13",12834.1825333333,12132.7515,11712.8730666667,11513.0224,11690.5257333333,12446.9291333333,13961.9246666667,15658.5856,16797.3331666667,17579.4809,18257.1945333333,18616.7134,18719.4051333333,18918.4708666667,18938.3258,18844.2198666667,18775.8499666667,18464.6658666667,17924.7903,17536.6237333333,17649.3769666667,16897.921,15191.1415,13557.9798333333
"27","2010-08-16",12938.8250333333,12238.2835666667,11841.9693,11610.3715666667,11756.5085666667,12310.6800666667,13556.4885666667,15294.2653,16808.6579333333,18019.2762333333,18739.6792,19442.8025333333,19653.3156,19933.7533333334,20202.8558666667,20149.1411666667,20158.5607666667,20063.6001666667,19775.8056666667,19522.9355,19637.8387666667,19004.9607,17385.5618,15718.5432333333
"28","2010-08-17",15400.5843666667,14608.5316333333,14028.8612333333,13761.2251,13847.1639333333,14588.0482,15980.7312,17699.9015666667,19125.8828333333,20346.5618666667,21404.5925,22213.9786,22699.2088666667,23169.3772666667,23382.4256,23507.9279333333,23004.0462,22774.4898333333,22119.3674,21401.2515666667,21337.5669333333,20445.6789333333,18608.9545666667,16522.0727
"29","2010-08-18",14417.6740333333,13413.9118,12878.6860333333,12524.7365666667,12578.9407666667,13167.482,14510.4960333333,16233.0362,17464.3619333333,18324.8031333333,19069.1145333333,19594.974,19835.6572,20168.9204666667,20276.4340666667,20379.1391333334,20377.7277666667,20083.0280333333,19406.9151333333,18902.0814666667,18714.5660666667,18043.8022666667,16333.1600666667,14547.6122
"30","2010-08-19",12743.0666,12032.2843333333,11529.3763,11300.9271333333,11447.6510333333,12137.2593333333,13821.6954666667,15734.6997666667,17071.5845666667,18125.6156,18987.9438666667,19670.5725333333,20083.8082333333,20510.1469333333,20853.7263,20982.3095,21058.7607666667,20894.9126,20343.314,19704.1712333333,19592.0658,19046.6377,17076.1871666667,15203.7615333333
"31","2010-08-20",14124.0767666667,13290.3651333333,12762.3608,12463.4506333333,12574.8519333333,13258.7805,14752.6733,16553.2625333333,17784.5259666667,18818.2608,19665.5379,20169.8193333333,20395.1049333333,20803.1074,20957.9565666667,20852.6371333333,20665.6912666667,20106.7978666667,19116.2575333333,18459.6745333333,18056.3486666667,17178.6911333333,15581.2018,13808.8107333333
"32","2010-08-23",11858.7109333333,11257.3395666667,10942.2539,10833.8843333333,11057.02,11941.58,13403.6946666667,15029.0439666667,16047.6146,16760.9061,17198.8279,17312.0407,17248.6901333333,17171.4574666667,16974.3094666667,16815.4433,16718.3089666667,16647.1178666667,16383.5323333333,16102.3589,16149.7975,15460.5359,14075.3408666667,12661.4537
"33","2010-08-24",11783.7843,11138.1924666667,10815.0890333333,10658.1712,10838.3774333333,11579.4768,13116.4415333333,14717.245,15708.2665333333,16351.1329,16820.3391333333,17039.9546666667,16997.8047,16996.4419333333,16812.8505333333,16609.4056666667,16516.8381666667,16420.3406666667,16135.2920333333,15938.8698333333,15877.9272,15249.0867,13906.6285333333,12496.7524666667
"34","2010-08-25",11562.3840666667,10942.6272,10584.5372333333,10477.4493333333,10694.6205666667,11410.1251,12923.7748666667,14578.2605,15593.0076333333,16314.3736666667,16838.0432,17065.5557666667,17169.6518333333,17213.6526333333,17204.6218333333,17026.2370666667,16978.5961666667,16860.3201333333,16616.4495666667,16383.8858666667,16440.3857666667,15870.4216666667,14484.3432,13024.8369
"35","2010-08-26",12490.9610333333,11828.4590333333,11487.6422333333,11322.0948333333,11512.2295333333,12291.7157666667,13882.7875666667,15687.7454333333,16894.0306333333,17829.4766666667,18660.3774666667,19246.8504666667,19496.6080666667,19718.7767666667,19872.6744333333,19802.4939,19735.7417333333,19365.1301,18698.4436,18052.9141666667,17872.7160333333,17099.7186,15322.7496,13631.8460333333
"36","2010-08-27",11593.0369333333,10896.3368666667,10528.6351666667,10412.7155333333,10543.1794,11181.3824,12666.0839666667,14288.2614,15361.6672,16176.9098333333,16754.659,17073.8008,17226.8776666667,17393.4185,17385.9393333333,17361.7527666667,17333.0172,17089.3638666667,16607.1638666667,16213.4977333333,16334.6152333333,15805.1752666667,14230.2423,12673.7626333333
"37","2010-08-30",13944.4117666667,13006.3905,12467.1140666667,12115.7517666667,12172.3195333333,12730.8846333333,14240.8514333333,16013.3018,17535.3327333333,18827.0370666667,19975.3454,20979.7918666667,21599.6051,22265.2782,22581.9465666667,22876.8173333334,22848.9017333333,22809.1896333333,22181.9336666667,21543.9970666667,21461.5394666667,20738.8233666667,18725.7304333333,16658.4477666667
"38","2010-08-31",15145.7164666667,14195.8682,13487.2003,13150.6515,13258.1245,13787.2870666667,15279.7059,17432.7750333333,19364.5464333333,20857.2954666667,22253.7141666667,23264.6841333333,23901.2067,24561.6496,24863.1397,24893.9285,24984.6054,24875.5266,24200.3264,23406.9797,23297.1167666667,22160.0830666667,19965.2769,17795.5045666667
"39","2011-06-01",12646.9211,11910.1507666667,11510.8053,11313.6079666667,11500.3602333333,12125.1483,13638.068,15295.6925333333,16601.1749,17757.0484333333,18649.9928666667,19338.5095666667,19686.2951333333,20093.6658,20342.0690666667,20395.8599666667,20370.1847333333,19997.5276,19516.6284333333,19112.355,19069.1956666667,18337.8775,16614.1967333333,14932.6884333333
"40","2011-06-02",13170.1692,12397.6961333333,11958.9353333333,11628.4740333333,11717.4110333333,12430.9288,13844.8934,15545.6672333333,16603.8684,17393.6923333333,17843.7099666667,18071.5567666667,18027.2354333333,18075.6684333333,17795.1324666667,17514.1628333334,17184.0772666667,17018.2150666667,16484.7025333333,16250.3801666667,16311.6157666667,15437.7398,14028.0212333333,12653.4011666667
"41","2011-06-03",10619.5076666667,10070.8941333333,9767.68653333334,9684.92753333333,9923.95773333334,10617.7680666667,12541.2959,14163.8636333333,14901.0472,15327.6404666667,15628.8815333333,15772.3230333333,15775.1162,15895.8042666667,15791.0213666667,15668.5124333333,15571.5484,15357.9228,15092.5555,14853.6224,15050.3839666667,14656.1923333333,13183.0253,11746.7678
"42","2011-06-06",11322.1667666667,10684.6637333333,10383.8190333333,10249.1156666667,10413.3573666667,11047.7725,12546.6026333333,14212.6425666667,15488.1702666667,16149.1196333333,16835.4801,17136.8099333333,17231.4276,17387.4947666667,17346.2805,17335.9729333333,17385.0594666667,17172.0663333333,16677.4718,16286.2958666667,16384.1102,15930.723,14498.2848333333,12990.3009
"43","2011-06-07",11985.7294,11333.2010333333,10920.8575,10785.8693666667,10919.2354,11540.2388666667,12985.1329,14700.7152666667,16115.0464333333,17163.5095666667,17983.7700666667,18683.3493333333,19148.1023666667,19585.5351666667,19854.4850666667,20026.3927,20005.5131666667,19814.9606333333,19341.8650666667,18695.0732,18628.0253666667,18029.6432333333,16348.9947666667,14664.2556333333
"44","2011-06-08",13668.5011666667,12774.6772333333,12290.1904666667,12029.6694,12131.3974666667,12756.4357666667,14352.3961333333,16331.1948333333,17835.0701,19056.8388666667,20179.0122333333,20976.1010333333,21441.6684666667,22100.9218,22266.3468666667,22536.8247333333,22599.9649666667,22468.5030333333,21932.8918666667,21403.7242333333,21465.1556333333,20672.3094333333,18738.1554,16738.0320666667
"45","2011-06-09",14758.4162,13812.8815666667,13208.7011666667,12894.9804,12879.8505666667,13471.6016666667,14946.9370333333,16871.9043,18129.8306666667,19291.7556333333,20303.4318,21158.4903666667,21630.3032333333,22239.0936333334,22304.5432333333,22084.7251333333,21716.4469,20794.0756,19810.1237666667,19142.4403,18900.7694,17771.3332666667,16188.3629333333,14388.4328666667
"46","2011-06-10",12954.4585666667,12269.4960333333,11917.9161333333,11669.0287666667,11823.3877,12501.8675333333,14042.9716,15900.1788,17238.1844666667,18313.5997666667,19087.2578,19446.6798666667,19444.4475666667,19498.6394666667,19350.6751333333,19140.3787666667,18933.6125666667,18622.8130666667,18007.7885333333,17534.8104,17533.5476,16959.0657666667,15363.0583,13692.1306
"47","2011-06-13",10810.353,10292.2901666667,9979.23666666667,9897.5886,10123.7174666667,10916.7648666667,12688.6420333333,14231.1249666667,15092.6452,15545.5427,15937.5313333333,16132.6549666667,16140.2767333333,16162.3047666667,16117.3907333333,15987.8157333333,15861.3118666667,15671.8672666667,15357.7647,15158.8268333333,15405.6075333333,14941.6032666667,13505.4792333333,12019.5975
"48","2011-06-14",10825.1785,10283.0389333333,10020.1249333333,9898.3731,10152.2329,10972.6402,12760.0368333333,14366.7621333333,15108.1863,15511.0879666667,15875.9560333333,15975.3694666667,15931.4658333333,15926.9766333333,15759.8194,15669.8034666667,15658.0508333333,15677.5611333333,15391.9318,15279.0332,15472.6720666667,14865.1795333333,13340.2672666667,11857.4277666667
"49","2011-06-15",10782.9678333333,10257.1885333333,9976.6417,9877.08499999999,10113.3949666667,10811.1008333333,12678.239,14351.7068,15244.1911333333,15939.6573666667,16470.0825666667,16761.8853333333,16841.0548,17052.3004333333,17006.1851,16988.8551,16956.1112666667,16740.1395666667,16261.1079666667,16007.1877333333,16129.3896,15564.2708333333,14115.8797,12575.3555
"50","2011-06-16",11487.7331666667,10871.1954333333,10546.6854666667,10438.8366333333,10596.9190333333,11335.3354666667,13028.4598666667,14858.2944333333,16004.1813,16946.9261333333,17668.3288666667,18238.9428666667,18552.9326333333,18992.3801666667,19301.8263,19374.2584,19490.6166,19393.6693666667,18919.8783666667,18542.1255333333,18496.9144333333,17915.9256666667,16258.8113333333,14565.9929666667
"51","2011-06-17",13274.6018666667,12505.8072333333,12063.8541666667,11746.9488666667,11863.2584666667,12518.1711333333,14042.2686,15804.4130333333,16821.9414333333,17536.2021,17933.2268666667,18059.7036333333,17988.2189666667,17995.4473,17861.6656,17717.4595,17571.6129333333,17477.3234333333,16990.2711333333,16758.0061666667,16900.238,16212.2699,14707.9993,13198.5935
"52","2011-06-20",11441.1214333333,10800.4113666667,10416.8372,10311.5179333333,10454.9163666667,11123.7383333333,12616.8987666667,14311.1456333333,15420.7364,16215.725,16856.1974,17211.1069333333,17344.6686,17554.0075666667,17612.1475666667,17664.5670666667,17709.3232,17570.1298333333,16973.5368666667,16513.0423333333,16684.0733,16063.6694666667,14504.0400333333,12968.5145666667
"53","2011-06-21",12043.1668333333,11358.9174,10981.2851333333,10824.4057,10951.8751,11578.0594666667,13017.8000333333,14771.6978,16060.6702666667,17024.4793666667,17825.303,18343.8524,18692.9918,19021.2876,19193.2282,19238.6586333333,19269.0256333333,19044.5390333333,18429.7002,18023.0452333333,17963.6148666667,17441.5808666667,15794.2182666667,14151.0374
"54","2011-06-22",13063.8906,12382.4363666667,12014.9866666667,11876.0224333333,12071.0644666667,12725.3499,14029.0881,15746.2232333333,16879.3864,17522.002,17876.6673333333,18038.1758666667,17990.5669666667,18098.1306333333,17809.1715666667,17616.5284333333,17500.9352333333,17402.999,17052.6736333333,16823.4994333333,16853.3369666667,16244.2300666667,14844.4407333333,13348.2565333333
"55","2011-06-23",11916.1117666667,11299.7163666667,10958.3370666667,10892.3838,11080.7201,11993.28,13456.2837333333,15007.6559,16006.0339333333,16720.677,17124.9002666667,17314.7589333333,17255.9659666667,17150.2229,16963.4151666667,16783.5129,16723.1717,16654.0371333333,16356.6153333333,16152.5942333333,16087.3607,15356.8592333333,13951.0250666667,12520.2902666667
"56","2011-06-24",11116.7276,10570.3437666667,10223.7635,10181.9617,10398.2763,11207.7214666667,12910.4371666667,14599.7273666667,15492.9352,16015.2488,16387.8655666667,16518.8280333333,16488.2150666667,16413.1106,16232.9068,16040.6720666667,16083.9382666667,15995.6707,15759.6003666667,15474.2777333333,15434.4996333333,14810.5756,13386.4188,11961.5815
"57","2011-06-27",12633.5987333333,11871.1282333333,11444.9142333333,11236.7753666667,11427.1796333333,12130.0059,13784.4674333333,15613.799,16955.3840333333,18081.9139666667,18984.7396,19604.1032333333,19926.7718333333,20309.2076666667,20467.5938666667,20458.8688666667,20470.7236333333,20235.8504333333,19647.8287666667,19031.0378666666,18968.2295,18394.7939666667,16650.6176666667,14866.8605666667
"58","2011-06-28",13248.8071666667,12476.0555,12030.4409,11773.6219,11952.2941666667,12619.1111333333,14110.7205333333,15980.2322666667,17372.3474,18424.6245666667,19353.2894666667,20004.916,20400.3615,20659.2429,20667.8531333333,20655.5683333333,20546.6021666667,20324.9623333333,19731.8465,19309.4093666667,19329.3197666667,18739.7456666667,16941.0878333333,15257.4740333333
"59","2011-06-29",13821.2275333333,13129.9811666667,12711.4877333333,12479.5133666667,12608.4885666667,13322.2136666667,14868.4116333333,16646.0269,17837.3758333333,18727.9847333333,19467.0190666667,19931.5183,20222.3138333333,20474.0003,20576.9409,20505.5042333333,20407.8946333333,20120.8943666667,19559.9422666667,18983.1820666667,18965.0446,18132.2620333333,16360.2255333333,14503.9763666667
"60","2011-06-30",12914.7033666667,12135.5109666667,11616.8535666667,11436.4695,11497.6936,12117.9256666667,13497.5742,15315.9950666667,16594.2795666667,17482.0325,18173.3579333333,18621.6802,18793.9928333334,19067.7748666667,19204.2997333333,19216.4618666667,19244.3454333333,18996.7456,18471.1389,17894.0577333333,17909.1999,17362.6111,15658.2131666667,13940.0587666667
"61","2011-07-01",12483.2378,11796.3187666667,11274.1142,11119.7176333333,11212.4410666667,11764.1946,13051.4990666667,14760.3002,16203.1283666667,17178.2696,17856.5833333333,18330.7471,18468.3819333333,18663.4879,18685.2468666667,18605.6857333333,18604.1992333333,18371.0979666667,17918.0113,17381.5510666667,17524.9895,17003.5073666667,15367.9438666667,13700.8090666667
"62","2011-07-04",13660.7204666667,12876.0202,12483.8563666667,12333.1726666667,12471.5672,13271.6725666667,14785.5883333333,16642.0099666667,18041.6010333333,19066.6947666667,20045.4126,20726.9238333333,21100.2099,21639.7780666667,21780.1381666667,21910.7284,21914.8541666667,21551.1259,20886.7280333333,20367.725,20304.7175666667,19365.1094,17453.063,15535.7985
"63","2011-07-05",14179.6151666667,13290.059,12714.9242333333,12489.2763333333,12554.1714,13185.955,14708.5028333333,16765.9580333333,18222.0286,19416.9891,20605.4373333333,21554.3247333333,22149.9832666667,22629.4098,22957.6152,23077.8519,22990.4786,22805.1456,22182.4093,21392.2238666667,21170.9042,20358.7439,18288.4623666667,16219.3128333333
"64","2011-07-06",14088.9382333333,13135.7100666667,12630.8532333333,12338.6636666667,12414.6692,13076.5511666667,14651.508,16643.5882666667,18223.6473666667,19502.6357,20667.3227666667,21582.9737333333,22092.1054666667,22696.2997333333,22959.2909333333,23169.3492333333,23166.8169666667,22921.1193666667,22204.5983,21486.2033333333,21217.8038666667,20283.7750333333,18138.7321333333,16211.8193
"65","2011-07-07",13854.1665,13074.8889,12698.0896666667,12459.3864,12601.3627333333,13257.6029666667,14861.4340333333,16787.5161333333,18278.3515333333,19490.1346666667,20388.5778,20982.1975,21271.0038,21516.8477666667,21697.1286333333,21661.0502,21721.5732666667,21365.9483666667,20662.9152333333,20103.502,19824.6856,19051.2865333333,17039.5623666667,15184.7085333333
"66","2011-07-08",13852.5178666667,13070.7195,12563.0008666667,12320.7202333333,12418.3488,13022.0287666667,14567.0910666667,16246.275,17390.3885333333,18071.0075,18589.9713333333,18675.5590666667,18730.0511,18860.9887333333,18769.5143333333,18754.3891333333,18702.5901333333,18476.7434666667,18152.5159333333,17824.0784,17816.1742,17263.8019666667,15738.8628666667,14099.1361333333
"67","2011-07-11",13886.6331,12980.1130333333,12511.4183,12197.1473,12333.0484333333,13058.8275666667,14690.8446666667,16665.9243666667,18486.0246666667,19927.4143666667,21337.769,22245.8683,22854.1225333333,23415.2582333333,23746.608,23772.3205333333,23753.3283,23489.1099333333,22811.9036666667,22254.9554666667,22192.9409666667,21372.2867666667,19346.6476333333,17148.5453
