"","LoadDate","Load1","Load2","Load3","Load4","Load5","Load6","Load7","Load8","Load9","Load10","Load11","Load12","Load13","Load14","Load15","Load16","Load17","Load18","Load19","Load20","Load21","Load22","Load23","Load24","Dry1","Dry2","Dry3","Dry4","Dry5","Dry6","Dry7","Dry8","Dry9","Dry10","Dry11","Dry12","Dry13","Dry14","Dry15","Dry16","Dry17","Dry18","Dry19","Dry20","Dry21","Dry22","Dry23","Dry24","Dew1","Dew2","Dew3","Dew4","Dew5","Dew6","Dew7","Dew8","Dew9","Dew10","Dew11","Dew12","Dew13","Dew14","Dew15","Dew16","Dew17","Dew18","Dew19","Dew20","Dew21","Dew22","Dew23","Dew24"
"1","2010-07-12",14692,13872,13364,13125,13255,13861,15468,17473,19117,20534,21844,22781,23286,23629,23689,23747,23736,23383,22650,21861,21606,20888,19032,17108,73,71,71,70,69,69,69,71,74,77,80,81,82,83,84,84,86,85,84,82,80,77,76,75,67,67,67,67,67,67,66,67,68,68,68,68,66,63,64,64,63,63,63,63,63,64,66,67
"2","2010-07-13",15697,14880,14377,14118,14249,14972,16486,18390,19838,21005,22085,22909,23373,23679,23612,23265,22891,22491,21889,21464,21367,20510,18793,17056,74,74,74,74,73,73,74,74,76,78,80,82,84,84,84,83,83,81,79,76,75,74,73,74,68,68,69,69,70,70,70,70,70,70,70,68,69,68,67,67,67,69,70,71,71,71,71,72
"3","2010-07-14",15776,15002,14540,14358,14524,15283,16763,18440,19450,20011,20441,20651,20690,20685,20472,20202,20047,19932,19556,19161,19104,18628,17080,15401,73,73,73,73,73,73,74,74,75,74,74,74,74,74,75,75,75,75,74,72,72,71,71,70,71,72,72,72,72,72,72,72,72,71,71,70,70,70,70,70,69,69,69,69,69,68,68,68
"4","2010-07-15",14171,13402,12945,12760,12917,13593,15053,16716,17821,18665,19504,20196,20644,21071,21255,21368,21511,21414,20863,20120,19935,19374,17671,15855,70,69,69,68,67,67,67,68,69,71,73,75,78,79,80,80,80,80,79,77,76,74,73,71,68,67,67,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,66,66,67,67,67
"5","2010-07-16",14499,13649,13153,12923,13083,13791,15195,16936,18275,19539,20785,21839,22628,23405,23865,24091,24150,23888,23152,22332,21684,20694,19028,17269,71,70,69,69,69,69,69,70,72,74,78,80,83,85,87,88,88,87,85,83,77,75,74,74,67,67,66,67,67,67,67,68,69,69,69,70,71,71,71,70,71,72,73,73,69,70,70,70
"6","2010-07-19",14784,13908,13373,13067,13134,13704,15166,17130,18718,19879,20624,21010,21031,21068,21358,22018,22472,22480,21953,21327,21046,20157,18319,16464,75,72,71,70,69,68,68,71,73,77,79,81,80,79,79,82,83,82,82,80,78,76,76,74,60,60,60,60,60,61,61,62,61,61,61,62,64,65,67,68,69,70,70,70,70,70,70,68
"7","2010-07-20",15085,14229,13662,13370,13459,14081,15531,17315,18602,19712,20698,21293,21511,21562,21429,21525,21773,21694,21217,20534,20274,19561,17767,15902,74,72,71,70,69,70,70,72,74,76,77,79,79,79,79,78,80,80,80,80,77,74,73,72,69,68,67,67,66,66,66,65,65,65,65,63,64,65,64,63,64,62,62,62,63,63,64,64
"8","2010-07-21",14534,13713,13176,12905,13043,13693,15198,17063,18483,19641,20811,21830,22497,23149,23522,23448,22899,22155,21344,20665,20313,19421,17656,15863,71,69,69,68,68,67,68,70,72,75,78,81,83,83,84,86,83,79,76,75,74,72,72,71,64,64,64,64,64,64,63,65,65,65,66,66,67,68,68,69,69,69,68,68,68,67,67,66
"9","2010-07-22",14417,13531,12994,12714,12764,13318,14741,16611,17922,18895,19686,20200,20422,20692,20825,20876,20917,20686,19992,19312,19276,18724,17068,15275,71,68,68,68,67,66,66,68,71,74,77,78,80,81,82,83,83,83,82,80,78,75,73,71,65,65,64,63,62,61,61,61,61,61,60,60,59,58,57,57,57,57,57,57,58,58,59,59
"10","2010-07-23",13928,13071,12532,12254,12308,12842,14199,15948,17184,18057,18655,18937,18955,18933,18629,18210,17921,17821,17551,17409,17454,16875,15761,14488,70,70,68,68,67,66,67,69,71,74,74,75,75,75,73,72,70,69,70,69,70,69,69,70,59,59,60,60,60,59,60,60,61,61,62,62,62,63,63,64,65,66,67,67,67,67,68,68
"11","2010-07-26",13388,12519,11974,11731,11834,12371,13773,15567,16862,17782,18495,18949,19247,19594,19778,19846,19939,19853,19296,18604,18461,17771,16052,14326,69,67,65,65,64,63,62,66,69,72,75,77,79,81,82,83,83,82,82,80,78,75,72,71,55,54,54,54,54,54,55,55,55,55,53,52,52,51,51,51,50,50,51,50,50,52,52,53
