"","x"
"Load1",12978.6045081967
"Load2",12257.8053278689
"Load3",11844.1024590164
"Load4",11655.0737704918
"Load5",11806.375
"Load6",12521.8913934426
"Load7",14089.0635245902
"Load8",15864.268442623
"Load9",17080.3831967213
"Load10",17975.4467213115
"Load11",18711.5368852459
"Load12",19180.1168032787
"Load13",19417.7233606557
"Load14",19661.9795081967
"Load15",19710.9344262295
"Load16",19659.4795081967
"Load17",19595.5840163934
"Load18",19339.9282786885
"Load19",18823.2254098361
"Load20",18399.2889344262
"Load21",18412.2315573771
"Load22",17708.5655737705
"Load23",16039.3852459016
"Load24",14342.8442622951
